latent_index,spearman,p_value
132,0.29369001222322805,0.0030202517885866134
133,,
134,,
135,,
136,,
137,,
138,,
139,,
140,,
141,,
142,,
143,,
144,,
145,,
146,0.3944229921221171,4.896000878270617e-05
147,-0.09697657045010702,0.3371367306347397
148,,
149,,
150,,
151,-0.09690456260124858,0.33749730742163553
152,,
153,,
154,-0.35958919523684574,0.00023842333834413882
155,0.04596501018797228,0.6497487162389576
156,,
157,,
158,0.16786829765124336,0.09502883441298018
159,0.026078842594899152,0.7967515456542696
160,,
161,,
162,0.4051821648723827,2.8934751692958964e-05
163,,
164,,
165,,
166,,
167,,
168,,
169,,
170,0.45087849839993743,2.5072737892388262e-06
171,,
172,,
173,,
174,,
175,0.16356582868195146,0.10393581228344612
176,0.5699661263308562,6.039725720599936e-10
177,-0.338790928224899,0.0005650258846813705
178,,
179,,
180,,
181,,
182,,
183,0.26626281833854937,0.007413562016320559
184,0.4158333258493606,1.6882168241160246e-05
185,,
186,,
187,,
188,,
189,,
190,-0.09235006616095212,0.3607983966181386
191,,
192,-0.07506818243492598,0.4579103475602315
193,,
194,,
195,,
196,0.2835549074964023,0.004252165431774836
197,0.035859908731504214,0.723185581822664
198,,
199,,
200,,
201,0.16485596930733187,0.1011989778465876
202,,
203,,
204,,
205,,
206,,
207,,
208,0.30324905415918624,0.0021627324232814066
209,0.27690018213106793,0.005288058802354042
210,,
211,0.4631341119881217,1.222299788590364e-06
212,0.4088485645100917,2.4086236920456933e-05
213,,
214,,
215,0.3190727789458289,0.0012137661436090617
216,-0.3243653558369244,0.000993479775363761
217,,
218,-0.2534676279817165,0.010943241209713836
219,,
220,,
221,,
222,,
223,,
224,,
225,,
226,0.053891874216472443,0.5943586656083129
227,,
228,0.018446010615904274,0.8554599348624906
229,0.5077813481875197,6.95256016007135e-08
230,,
231,-0.1723987914752537,0.08631214392888249
232,,
233,,
234,0.14302558979508082,0.15572890665706265
235,0.43347524881967897,6.637326432025979e-06
236,,
237,0.33360036245301966,0.0006944234565466146
238,,
239,,
240,,
241,,
242,,
243,0.2764921376542034,0.0053583262786987725
