epoch,avg_obj,baseline,spearman_train,p_train,spearman_test,p_test
0,46603.90392127404,-4.330084350505415,0.9602369044054088,,0.9504950495048845,
1,16200.91722224309,-5.832028539913714,0.9602369044054088,,0.9504950495048845,
0,50303.74233774038,-4.673087170718108,0.9602369044054088,4.169875206799506e-56,0.9504950495048845,1.5194520070178065e-51
1,10522.226060133715,-5.650645142431695,0.9602369044054088,4.169875206799506e-56,0.9504950495048845,1.5194520070178065e-51
